Supplier Number,Company Name,Display Name,SIM Status,Organization Type,Federal Tax ID,DUNS,Country of Operation,Preferred Currency,Payment Term,Invoice Matching Level,Minority Indicator,Minority Type,Primary Contact Email,Pay Group,Risk Tier,Insurance Expiry,Plants Served
V-102336,Fairweather Plating S.A. de C.V.,,Active,Corporation,37-0122929,04-148-1893,United States,USD,Net 45,2-way,N,,fairweather.plating@fairweatherpla.com,US-AP,Tier 1,04/06/2026,PLT-03 / PLT-04 / PLT-09
V-102337,Ullswater Fabrication Inc,,On Hold,Limited Liability Company,30-0216932,174444467,U.S.,USD,COD,None,F,,ullswater.fabrication@ullswaterfab.com,US-AP,3,06/02/2028,PLT-03
V-102338,Culverton Pneumatics Inc.,Culverton Pneumatics,active,Corporation,487160238,,United States,Euro,2/10 Net 30,2 way,FALSE,,culverton.pneumatics@culvertonpne.com,US-AP,2,03/23/2028,PLT-09;PLT-08
V-102339,Fairweather Lubricants Ltd,,Active,Corporation,63-3829106,,Germany,USD,2/10 Net 30,3-way-direct,F,,fairweather.lubricants@fairweatherlub.com,US-AP,Low,2027-01-14,
V-102340,Lansdowne Electrical Inc,Lansdowne Electrical,draft,Sole Prop,28-7758153,230939819,CA,Euro,Net 60,,true,WOSB,lansdowne.electrical@lansdowneele.com,EU-AP,2,07/11/2026,PLT-03
V-102341,Castleford Extrusions PLC,Castleford Extrusions,active,Corporation,98-7042982,948969333,,USD,Due on receipt,3-way-direct,,,,US-AP,Low,06/09/2028,PLT-03
V-102342,Lansdowne Tooling Ltd,Lansdowne Tooling,A,Corporation,334920910,31660636,US,USD,Net 45,3-way,no,,ap@lansdownetoo.com; lansdowne.tooling@lansdownetoo.com,EU-AP,1,2027-09-24,PLT-07
V-102343,Culverton Machining LLC,Culverton Machining,active,LLC,11-9163087,59-385-4704,US,USD,Net 90,,0,,culverton.machining@culvertonmac.com,US-AP,2,2028-05-03,"PLT-02, PLT-01"
V-102344,Castleford Plating Ltd,,Active,Corporation,32-8281912,505079976,USA,Euro,Net 30,2-way,1,VOSB,castleford.plating@castlefordpla.com,US-AP,,,"PLT-08, PLT-03"
V-102345,Culverton Bearings Inc,,,Sole Proprietor,81-4712100,472952736,Mexico,USD,,Two-way,No,,culverton.bearings@culvertonbea.com,EU-AP,,2026-11-01,PLT-07
V-102346,Brackenridge Packaging Ltd,Brackenridge Packaging,active,Corporation,685158389,137610412,US,USD,Net 30,2 way,N,,brackenridge.packaging@brackenridgepac.com,US-AP,1,03/21/2028,
V-102347,Denholm Springs LLC,Denholm Springs,active,LLC,21-6982324,550597918,USA,USD,Net 15,,false,,denholm.springs@denholmspr.com,US-AP,,2027-09-09,PLT-12
V-102348,Draycott Extrusions Inc,Draycott Extrusions,On Hold,Corporation,36-0810504,479274662,US,USD,30 days,2 way,F,,ap@draycottext.com; draycott.extrusions@draycottext.com,US-AP,3,2028-04-07,PLT-10
V-102349,Marchmont Forgings Inc.,Marchmont Forgings,active,Corporation,28-4582606,,MX,GBP,2/10 Net 30,2-way,No,,ap@marchmontfor.com; marchmont.forgings@marchmontfor.com,UK-AP,3,2028-09-02,PLT-11;PLT-09
V-102350,Wolverton Hydraulics Ltd.,,Active,,87-9824093,,USA,USD,Net 30,2-way,false,,wolverton.hydraulics@wolvertonhyd.com,US-AP,2,12/18/2027,PLT-10
V-102351,Ballantyne Electrical GmbH,Ballantyne Electrical,inactive,LLC,59-9785386,,,CAD,30 days,2 way,FALSE,,ap@ballantyneele.com; ballantyne.electrical@ballantyneele.com,,2,,"PLT-12, PLT-01"
V-102352,Fairweather Valves Ltd.,,Active,Corporation,476455253,461722991,United States,,30 days,,1,SDVOSB,fairweather.valves@fairweatherval.com,US-AP,Low,03/14/2026,
V-100602,Verwood Abrasives PLC,Verwood Abrasives,inactive,Corporation,972563567,563519311,,US Dollar,Net 90,3-way,TRUE,WBE,verwood.abrasives@verwoodabr.com,,Tier 1,07/28/2028,PLT-03;PLT-05;PLT-12
V-102354,Oakhurst Foundry PLC,Oakhurst Foundry,Active,Partnership,27-8192113,580574879,,usd,N30,,F,,,US-AP,Tier 2,2028-08-19,"PLT-07, PLT-11"
V-102355,Marchmont Electrical GmbH,Marchmont Electrical,On Hold,Corporation,11-0765295,213714338,US,USD,Immediate,,TRUE,WOSB,marchmont.electrical@marchmontele.com,US-AP,,,PLT-09
V-102356,Saltburn Fasteners Ltd.,,A,,47-8386547,179831964,USA,USD,Net 45,3-way-direct,,,saltburn.fasteners@saltburnfas.com,MX-AP,Low,2027-02-02,
V-102357,Thirlmere Calibration Corp,Thirlmere Calibration,active,Sole Proprietor,,252892628,GB,USD,,none,F,,thirlmere.calibration@thirlmerecal.com,MX-AP,Tier 3,,PLT-02;PLT-08
V-102358,Saltburn Forgings PLC,Saltburn Forgings,Active,Corporation,88-3056359,681085803,US,US Dollar,2/10 Net 30,3 way,F,,saltburn.forgings@saltburnfor.com,US-AP,Tier 1,2026-01-14,
V-102359,Jarrow Machining Inc,Jarrow Machining,active,Corporation,838438458,627971036,US,USD,Due on receipt,3 way,No,,jarrow.machining.jarrowmac.com,US-AP,Low,,PLT-06;PLT-03;PLT-08
V-102360,Draycott Springs LLC,Draycott Springs,active,Limited Liability Company,70-9936259,423329209,Germany,USD,Immediate,3-way,false,,draycott.springs@draycottspr.com,UK-AP,,2028-07-19,PLT-09
V-102361,Jarrow Bearings Corp,,draft,S-Corp,404812828,617642933,US,,Net 90,,FALSE,,jarrow.bearings@jarrowbea.com,US-AP,Medium,2027-11-27,PLT-09;PLT-02;PLT-06;PLT-01
V-102362,Fairweather Forgings PLC,Fairweather Forgings,active,LLC,438121915,56826337,US,USD,Net 30,3-way-direct,no,,,EU-AP,1,2027-10-24,PLT-05
V-102363,Alderman Weldments Ltd,Alderman Weldments,Active,Corporation,91-9338810,269711117,CA,USD,Net 30,2-way,F,,alderman.weldments@aldermanwel.com,US-AP,2,2028-11-25,PLT-10
V-102364,Elmswell Plating S.A. de C.V.,,Active,S-Corp,62-8127578,,US,Euro,2/10 Net 30,,false,,elmswell.plating@elmswellpla.com,EU-AP,Tier 1,,PLT-08;PLT-02
V-102365,Jarrow Calibration Co,,ACTIVE,Partnership,74-3013799,570072001,US,EUR,NET30,,F,,jarrow.calibration@jarrowcal.com,US-AP,Tier 2,2027-02-01,PLT-09;PLT-03
V-102366,Ballantyne Foundry PLC,Ballantyne Foundry,active,Sole Prop,386324773,435040675,Germany,EUR,Net 45,3-way,F,,ballantyne.foundry@ballantynefou.com,,,2028-07-27,PLT-02;PLT-09;PLT-10;PLT-12
V-102367,Ashworth Abrasives GmbH,,Draft,,200220077,,US,EUR,Net30,3-way,Y,WBE,ashworth.abrasives@ashworthabr.com,,3,,
V-102368,Hollingworth Packaging PLC,Hollingworth Packaging,A,Sole Proprietor,100407678,744722880,US,USD,Net 45,2 way,FALSE,,hollingworth.packaging@hollingworthpac.com,MX-AP,2,,PLT-12;PLT-08
V-102369,Jarrow Valves S.A. de C.V.,Jarrow Valves,Active,Corporation,81-5571559,818500730,United States,US Dollar,Net 45,none,F,,jarrow.valves.jarrowval.com,,3,2028-02-06,PLT-07
V-102370,Eastgate Hydraulics Inc,,,Partnership,04-7749053,122396038,US,USD,Net 45,3 way,F,,eastgate.hydraulics@eastgatehyd.com,US-AP,3,2028-07-10,PLT-11
V-102371,Castleford Coatings LLC,Castleford Coatings,active,Sole Proprietor,682101785,923338947,US,GBP,Net 15,3-way,YES,SDVOSB,castleford.coatings@castlefordcoa.com,US-AP,2,2026-04-16,PLT-12
V-102372,Yarborough Weldments S.A. de C.V.,,active,LLC,14-5865409,,United States,USD,Due on receipt,3-way,No,,yarborough.weldments@yarboroughwel.com,MX-AP,High,2027-07-14,PLT-01
V-102373,Netherfield Foundry Ltd.,Netherfield Foundry,Active,LLC,44-9317089,668616371,US,usd,Net 60,Two-way,FALSE,,netherfield.foundry@netherfieldfou.com,US-AP,,03/09/2028,PLT-10
V-102374,Quarrington Foundry Ltd,Quarrington Foundry,Active,LLC,,741501279,US,USD,Net 60,2 way,No,,quarrington.foundry@quarringtonfou.com,MX-AP,Medium,2028-01-11,PLT-02
V-102375,Thirlmere Machining PLC,,active,Non-Profit,16-2977542,154488510,US,USD,Net 15,3 way,True,WBE,thirlmere.machining@thirlmeremac.com,US-AP,3,09/28/2027,PLT-09 / PLT-01
V-102376,Alderman Extrusions Ltd,Alderman Extrusions,Active,Corporation,46-2221922,,US,USD,Net 30,3-way,false,,alderman.extrusions@aldermanext.com,US-AP,3,08/18/2028,PLT-04;PLT-09
V-102377,Netherfield Machining Inc,,draft,Corporation,80-8997465,591308745,USA,EUR,Net 45,2 way,0,,netherfield.machining@netherfieldmac.com,CA-AP,,10/26/2027,PLT-06;PLT-09;PLT-03;PLT-02
V-102378,Farndale Electrical Corp,Farndale Electrical,active,LLC,59-3138225,,United States,MXN,Net 60,3 way,false,,farndale.electrical@farndaleele.com,CA-AP,Tier 2,2027-12-19,"PLT-10, PLT-01"
V-102379,Verwood Castings LLC,Verwood Castings,Inactive,LLC,64-0385091,,US,,2/10 Net 30,none,no,,verwood.castings@verwoodcas.com,UK-AP,1,2026-09-18,
V-102380,Yarborough Tooling Inc,Yarborough Tooling,Inactive,LLC,75-9289362,,GB,USD,COD,3-way-direct,false,,yarborough.tooling@yarboroughtoo.com,US-AP,2,08/16/2027,"PLT-02, PLT-05"
V-102381,Draycott Calibration S.A. de C.V.,Draycott Calibration,Inactive,Corporation,103581629,642163548,Germany,,30 days,2-way,FALSE,,draycott.calibration@draycottcal.com,EU-AP,Tier 1,2028-05-02,"PLT-12, PLT-07, PLT-09"
V-102382,Brackenridge Fasteners Inc,Brackenridge Fasteners,active,Partnership,92-2844271,569359664,,USD,Net 60,,False,,brackenridge.fasteners@brackenridgefas.com,UK-AP,Tier 3,2027-02-21,PLT-11;PLT-10;PLT-05
V-102383,Farndale Pneumatics Inc,Farndale Pneumatics,inactive,Partnership,,849794946,US,USD,Net 15,2-way,true,Minority Business Enterprise,farndale.pneumatics@farndalepne.com,EU-AP,Low,2027-12-16,PLT-02;PLT-08;PLT-05
V-102384,Culverton Plating Corp,Culverton Plating,inactive,,61-2367337,744314427,MX,CAD,,3 way,false,,culverton.plating@culvertonpla.com,EU-AP,Tier 2,2026-03-08,PLT-07
V-102385,Eastgate Lubricants GmbH,Eastgate Lubricants,Active,,,741413334,Mexico,CAD,Net 30,3-way-direct,true,SDVOSB,eastgate.lubricants@eastgatelub.com,,3,,PLT-11;PLT-04
V-102386,Yarborough Hydraulics PLC,,inactive,LLC,025161134,150965104,United States,EUR,NET30,2-way,yes,VOSB,yarborough.hydraulics@yarboroughhyd.com,EU-AP,Tier 1,2027-06-10,PLT-11
V-102387,Wolverton Castings Ltd,Wolverton Castings,ACTIVE,Corporation,734459464,218145721,GB,USD,Net 30,3 way,FALSE,,wolverton.castings@wolvertoncas.com,US-AP,2,2027-02-27,PLT-10
V-102388,Hollingworth Machining Co,Hollingworth Machining,ACTIVE,,139982476,793072542,US,CAD,COD,3-way,F,,hollingworth.machining@hollingworthmac.com,US-AP,,2028-10-04,
V-102389,Ashworth Plating Inc,,Active,Partnership,,86-244-1287,United Kingdom,usd,Net 30,3-way-direct,Yes,Minority Business Enterprise,ashworth.plating@ashworthpla.com,US-AP,Medium,2026-05-25,PLT-05 / PLT-03
,Ullswater Extrusions PLC,Ullswater Extrusions,I,LLC,13-3180011,285294691,United Kingdom,USD,Due on receipt,3-way-direct,False,,ap@ullswaterext.com; ullswater.extrusions@ullswaterext.com,US-AP,2,2026-11-25,PLT-07;PLT-03
V-102391,Quarrington Calibration GmbH,Quarrington Calibration,I,Corporation,701740011,727213708,MX,CAD,Net 60,2-way,,,quarrington.calibration@quarringtoncal.com,,2,,PLT-11
V-102392,Lansdowne Foundry GmbH,,,Corporation,40-6593230,229403695,US,EUR,Net 30,3-way,N,,lansdowne.foundry@lansdownefou.com,EU-AP,1,,PLT-11;PLT-09
V-102393,Denholm Logistics S.A. de C.V.,Denholm Logistics,active,LLC,,,US,US Dollar,Net 30,None,false,,denholm.logistics@denholmlog.com,US-AP,Low,2027-12-23,PLT-02;PLT-08;PLT-10
V-102394,Hollingworth Lubricants LLC,,A,,958113425,192045991,US,USD,Net 45,Two-way,false,,ap@hollingworthlub.com; hollingworth.lubricants@hollingworthlub.com,US-AP,2,2028-06-02,
V-102395,Farndale Plating PLC,Farndale Plating,inactive,LLC,,,US,GBP,,None,No,,,EU-AP,3,,PLT-01;PLT-05
V-102396,Grimsby Hydraulics S.A. de C.V.,,On Hold,LLC,10-5151853,295164672,US,CAD,Net 30,3 way,F,,grimsby.hydraulics@grimsbyhyd.com,US-AP,Medium,05/12/2026,PLT-10
V-102397,Marchmont Plating PLC,Marchmont Plating,active,Partnership,253539597,21-529-7179,United States,GBP,,2-way,N,MBE,ap@marchmontpla.com; marchmont.plating@marchmontpla.com,,Low,04/03/2027,PLT-05;PLT-07;PLT-06
V-102398,Ullswater Tooling LLC,Ullswater Tooling,A,Corporation,882960615,726630097,Mexico,EUR,Net 30,3-way,false,,ullswater.tooling@ullswatertoo.com,UK-AP,,2028-10-08,"PLT-01, PLT-07"
V-102399,Ullswater Foundry PLC,,active,Corporation,466965205,,US,CAD,30 days,None,true,Minority Business Enterprise,ullswater.foundry@ullswaterfou.com,CA-AP,,07/05/2027,PLT-01;PLT-12;PLT-05;PLT-09
V-102400,Culverton Forgings GmbH,Culverton Forgings,A,S-Corp,92-3158528,739620711,US,usd,Net 90,2-way,T,MBE,culverton.forgings@culvertonfor.com,US-AP,1,06/19/2026,PLT-12;PLT-10
V-102401,Alderman Forgings Ltd,Alderman Forgings,active,S-Corp,568539174,91425013,CA,GBP,Net 30,none,false,,,US-AP,High,2027-09-28,PLT-02;PLT-08;PLT-07;PLT-05
V-102402,Yarborough Calibration Ltd.,,active,LLC,596385192,640023408,,US Dollar,30 days,2 Way Match,F,,yarborough.calibration@yarboroughcal.com,UK-AP,1,2028-09-09,PLT-06
V-102403,Brackenridge Machining LLC,Brackenridge Machining,active,Corporation,875495816,172566912,CA,USD,Net 45,none,FALSE,,brackenridge.machining@brackenridgemac.com,US-AP,Medium,,"PLT-01, PLT-02"
V-102404,Alderman Logistics Inc,Alderman Logistics,active,S-Corp,642738964,134301400,USA,GBP,Net30,3 Way Match,FALSE,,alderman.logistics@aldermanlog.com,EU-AP,Low,,PLT-05
V-102405,Castleford Abrasives Ltd.,,inactive,Corporation,80-0173993,614338560,Mexico,,N30,2-way,false,,castleford.abrasives@castlefordabr.com,MX-AP,3,08/05/2026,PLT-07;PLT-09
V-102406,Grimsby Gasket Ltd,Grimsby Gasket,Active,Corporation,,722617446,US,MXN,Net 30,3-way-direct,false,,,CA-AP,,02/04/2026,PLT-09
V-102407,Wolverton Fabrication Co,,Inactive,Corporation,241406764,364196134,USA,usd,Net30,2 way,N,,wolverton.fabrication@wolvertonfab.com,US-AP,3,2027-07-15,PLT-11;PLT-07
V-102408,Marchmont Gasket Inc.,Marchmont Gasket,active,,19-4668492,07-281-1166,US,EUR,Net 15,None,True,WOSB,marchmont.gasket@marchmontgas.com,,,2026-01-06,PLT-05;PLT-08;PLT-06
V-102409,Saltburn Fasteners Inc,Saltburn Fasteners,Pending,Corporation,54-3201782,734523148,CA,EUR,Net 30,none,false,,saltburn.fasteners@saltburnfas.com,US-AP,,02/20/2027,PLT-10;PLT-05
V-102410,Saltburn Coatings PLC,,On Hold,S-Corp,483577882,71690117,US,EUR,Net 30,2-way,False,,saltburn.coatings@saltburncoa.com,UK-AP,2,2028-11-19,PLT-08;PLT-12
V-102411,Jarrow Castings S.A. de C.V.,Jarrow Castings,Active,S-Corp,139645756,743034225,United States,CAD,Net 30,2 way,0,,jarrow.castings@jarrowcas.com,CA-AP,3,2028-09-17,PLT-09
V-102412,Quarrington Valves Ltd.,Quarrington Valves,,Partnership,17-1834602,542008716,US,US Dollar,Net 60,3-way,no,,quarrington.valves@quarringtonval.com,US-AP,Medium,10/04/2028,PLT-06;PLT-02;PLT-04;PLT-12
V-102413,Denholm Springs GmbH,,Inactive,LLC,179824993,739877214,US,USD,Net 60,2 way,False,,denholm.springs@denholmspr.com,,Tier 2,08/25/2026,PLT-07
V-102414,Brackenridge Weldments Inc,Brackenridge Weldments,active,LLC,32-9298082,838142991,,EUR,Net 15,2 way,No,,brackenridge.weldments@brackenridgewel.com,EU-AP,3,2027-01-11,PLT-03;PLT-07
V-102415,Draycott Logistics Co,Draycott Logistics,draft,LLC,92-0198212,182810563,United Kingdom,EUR,NET30,2 way,0,,draycott.logistics@draycottlog.com,US-AP,High,,PLT-05;PLT-04;PLT-06
V-102416,Ullswater Lubricants S.A. de C.V.,Ullswater Lubricants,Inactive,Corporation,713606461,27186088,USA,USD,N30,3 way,,,ullswater.lubricants.ullswaterlub.com,EU-AP,Tier 2,2028-07-02,PLT-10;PLT-05;PLT-02;PLT-06
V-102417,Elmswell Forgings Ltd.,Elmswell Forgings,,LLC,36-0265793,647283996,US,USD,Net30,2-way,no,,elmswell.forgings@elmswellfor.com,US-AP,2,2028-10-28,PLT-05;PLT-06;PLT-11
V-102418,Saltburn Valves Corp,Saltburn Valves,A,S-Corp,352917605,01-061-9503,United States,USD,Due on receipt,3-way-direct,1,Minority Business Enterprise,saltburn.valves@saltburnval.com,MX-AP,3,,PLT-01;PLT-03;PLT-11;PLT-07
V-102419,Castleford Tooling Inc.,Castleford Tooling,inactive,Sole Proprietor,61-9699940,607332230,US,USD,,Two-way,FALSE,,castleford.tooling@castlefordtoo.com,CA-AP,2,2026-02-09,"PLT-07, PLT-01"
V-102420,Ingleby Bearings Ltd.,Ingleby Bearings,Active,LLC,,504257157,Mexico,CAD,Net 15,3 Way Match,F,,ingleby.bearings@inglebybea.com,US-AP,Medium,,PLT-08;PLT-04
V-102421,Ashworth Gasket Inc,Ashworth Gasket,active,LLC,85-0764682,376007073,USA,GBP,Due on receipt,2 way,false,,ashworth.gasket@ashworthgas.com,US-AP,1,2026-04-10,PLT-08 / PLT-02 / PLT-03
V-102422,Pemberton Weldments Inc.,Pemberton Weldments,active,Corporation,47-8840665,598575569,United States,USD,,3-way-direct,no,,pemberton.weldments@pembertonwel.com,US-AP,Medium,2027-02-24,PLT-09
V-102423,Ingleby Fabrication Ltd,Ingleby Fabrication,Pending,LLC,872314812,348365077,MX,MXN,,3-way,false,,ingleby.fabrication@inglebyfab.com,CA-AP,Low,2026-08-07,PLT-07
V-102424,Kettleby Extrusions LLC,Kettleby Extrusions,inactive,Partnership,74-7434230,493718577,GB,GBP,NET30,none,no,,kettleby.extrusions@kettlebyext.com,US-AP,1,12/25/2027,PLT-02 / PLT-08
V-102425,Ashworth Lubricants Inc.,Ashworth Lubricants,active,Sole Proprietor,955710757,05566902,United States,EUR,Due on receipt,none,No,,ashworth.lubricants@ashworthlub.com,,Medium,12/08/2026,
V-102426,Quarrington Weldments Ltd.,Quarrington Weldments,A,LLC,78-9246367,353428052,CA,USD,N30,3-way,N,,quarrington.weldments@quarringtonwel.com,EU-AP,Low,11/12/2026,"PLT-08, PLT-12, PLT-03"
V-102427,Ullswater Castings PLC,,On Hold,Partnership,37-9855677,674285676,MX,GBP,Net 30,2-way,0,,ap@ullswatercas.com; ullswater.castings@ullswatercas.com,,1,06/17/2027,PLT-10;PLT-11
V-102428,Hollingworth Fabrication Ltd.,Hollingworth Fabrication,Active,Corporation,91-1263107,377515017,US,USD,Net 45,3-way-direct,F,,hollingworth.fabrication@hollingworthfab.com,EU-AP,Medium,11/03/2028,"PLT-10, PLT-02, PLT-09"
V-102429,Oakhurst Hydraulics Inc,Oakhurst Hydraulics,Inactive,Corporation,380690039,561654264,US,USD,NET30,3-way,FALSE,,oakhurst.hydraulics@oakhursthyd.com,,3,01/04/2026,PLT-01
V-102430,Draycott Coatings Inc,,active,LLC,68-1053769,495898393,USA,USD,N30,2-way,FALSE,,,US-AP,1,10/21/2026,PLT-05;PLT-10
V-102431,Ingleby Forgings Ltd.,Ingleby Forgings,active,Partnership,04-6069218,356056404,USA,CAD,2/10 Net 30,2-way,false,,ingleby.forgings@inglebyfor.com,US-AP,Medium,2027-09-03,"PLT-09, PLT-06"
V-102432,Alderman Calibration Ltd.,,active,,994958275,207812252,Canada,USD,Net 45,2 way,F,,alderman.calibration@aldermancal.com,US-AP,1,2028-10-26,PLT-02
V-102433,Hollingworth Extrusions S.A. de C.V.,Hollingworth Extrusions,active,Corporation,241660353,467241819,USA,USD,COD,3 Way Match,no,,hollingworth.extrusions@hollingworthext.com,US-AP,Tier 1,2028-09-13,PLT-08;PLT-11
V-102434,Wolverton Logistics GmbH,Wolverton Logistics,Active,Corporation,,844670256,US,CAD,Net 30,2-way,no,,wolverton.logistics@wolvertonlog.com,US-AP,2,,PLT-10
V-102435,Verwood Abrasives Corp,Verwood Abrasives,Pending,,62-5348603,279803627,GB,GBP,Net 30,none,No,,verwood.abrasives@verwoodabr.com,EU-AP,2,2028-03-16,PLT-04;PLT-06;PLT-12
V-102436,Ashworth Machining Corp,,active,Corporation,728090334,152745945,Germany,USD,Net 60,2 way,No,,ashworth.machining@ashworthmac.com,CA-AP,1,06/01/2028,"PLT-05, PLT-01"
V-102437,Grimsby Valves Corp,Grimsby Valves,active,Corporation,03-4602590,713195082,United States,USD,Net 15,2 way,F,,grimsby.valves@grimsbyval.com,CA-AP,1,2027-08-23,PLT-06;PLT-11
V-102438,Jarrow Pneumatics Ltd,Jarrow Pneumatics,Pending,,351839980,,United States,,NET30,3-way,false,,jarrow.pneumatics@jarrowpne.com,CA-AP,,2028-06-15,PLT-12;PLT-09;PLT-06
V-102439,Denholm Bearings PLC,Denholm Bearings,Active,,487565479,523264270,USA,US Dollar,Net30,3-way,No,,denholm.bearings@denholmbea.com,MX-AP,,09/22/2026,"PLT-09, PLT-05"
V-102440,Ullswater Gasket LLC,Ullswater Gasket,A,LLC,596792088,800396508,Mexico,EUR,Net 60,Two-way,false,,ullswater.gasket@ullswatergas.com,UK-AP,High,05/23/2027,
V-102441,Draycott Machining PLC,Draycott Machining,Active,Sole Proprietor,13-6843100,286523795,US,CAD,Net 30,2-way,N,,draycott.machining@draycottmac.com,EU-AP,Tier 3,02/23/2026,PLT-01
V-102442,Thirlmere Plating Ltd,Thirlmere Plating,Active,LLC,57-5710755,730463525,US,USD,Immediate,3-way,true,MBE,thirlmere.plating@thirlmerepla.com,CA-AP,2,2027-05-14,PLT-10;PLT-03;PLT-08
V-102443,Netherfield Tooling GmbH,Netherfield Tooling,On Hold,Sole Proprietor,96-5552229,603785014,USA,USD,Net 30,None,No,,netherfield.tooling@netherfieldtoo.com,US-AP,Tier 1,2027-07-14,"PLT-10, PLT-03, PLT-12"
V-102444,Elmswell Lubricants Inc.,Elmswell Lubricants,inactive,LLC,08-3358457,69579782,,USD,Net 30,Two-way,0,,elmswell.lubricants@elmswelllub.com,,,07/03/2027,"PLT-06, PLT-07, PLT-11"
V-102445,Pemberton Weldments Inc,Pemberton Weldments,Pending,LLC,,319899405,,USD,Net 15,3-way-direct,N,,pemberton.weldments@pembertonwel.com,US-AP,Low,,PLT-01;PLT-12
V-102446,Pemberton Tooling Co,,active,Corporation,,649613164,Mexico,USD,Net 60,2-way,False,,pemberton.tooling@pembertontoo.com,US-AP,Low,2028-11-14,PLT-10;PLT-06;PLT-09;PLT-05
V-102447,Castleford Plating LLC,Castleford Plating,active,LLC,21-3630982,393593596,United Kingdom,USD,Net30,2 way,FALSE,,,EU-AP,Low,2027-04-28,
V-102448,Marchmont Coatings Ltd.,,active,Corporation,78-5391122,302620139,GB,usd,COD,Two-way,True,VOSB,marchmont.coatings@marchmontcoa.com,UK-AP,3,2028-09-22,PLT-02;PLT-12;PLT-04
V-102449,Netherfield Tooling Corp,Netherfield Tooling,Pending,Partnership,77-1233407,117993744,United Kingdom,EUR,Net 30,2-way,N,,netherfield.tooling@netherfieldtoo.com,EU-AP,1,2028-07-18,PLT-10 / PLT-03 / PLT-09
V-102450,Netherfield Fabrication Inc.,Netherfield Fabrication,,S-Corp,601437904,92806147,Deutschland,CAD,Net 15,Two-way,false,,netherfield.fabrication.netherfieldfab.com,,3,,PLT-02;PLT-03
V-102451,Verwood Calibration S.A. de C.V.,,active,Corporation,24-7792578,85873830,US,GBP,Net 15,Two-way,T,Minority Business Enterprise,verwood.calibration@verwoodcal.com,,,2028-10-26,PLT-09;PLT-03;PLT-02
V-102452,Ingleby Valves GmbH,Ingleby Valves,active,Corporation,29-6436079,,MX,Euro,Net 45,3 Way Match,No,,,CA-AP,,2028-04-02,PLT-12
V-102453,Denholm Coatings Inc,Denholm Coatings,inactive,Sole Proprietor,704313312,389084948,GB,GBP,Immediate,none,N,,denholm.coatings@denholmcoa.com,US-AP,Low,2027-02-05,"PLT-05, PLT-07"
V-102454,Netherfield Abrasives Corp,Netherfield Abrasives,active,Corporation,35-5721020,06047677,US,US Dollar,Net 45,,0,,netherfield.abrasives@netherfieldabr.com,US-AP,Low,08/26/2028,"PLT-10, PLT-05, PLT-12, PLT-01"
V-102455,Lansdowne Fasteners GmbH,,Active,Partnership,,57556444,USA,,Net 60,3-way,,,lansdowne.fasteners@lansdownefas.com,US-AP,Low,2026-07-13,PLT-04
V-102456,Eastgate Calibration Inc.,Eastgate Calibration,draft,Partnership,828030157,641041988,Mexico,USD,,3 Way Match,T,WBE,,US-AP,3,2028-07-15,PLT-06;PLT-07;PLT-08
V-102457,Draycott Machining LLC,,A,Limited Liability Company,72-7377560,412227434,United States,USD,30 days,2-way,YES,Woman-Owned Small Business,draycott.machining@draycottmac.com,EU-AP,2,2027-12-11,"PLT-10, PLT-08, PLT-09"
V-102458,Thirlmere Calibration GmbH,,Active,Corporation,51-8471738,892602293,Canada,,Net 30,none,no,,thirlmere.calibration@thirlmerecal.com,,Tier 1,2027-08-02,"PLT-01, PLT-09"
V-102459,Wolverton Hydraulics Inc.,Wolverton Hydraulics,active,,86-5093671,821247782,US,GBP,Net 30,3-way-direct,F,,wolverton.hydraulics@wolvertonhyd.com,EU-AP,Tier 3,,"PLT-11, PLT-03, PLT-02"
V-102460,Quarrington Abrasives Ltd.,Quarrington Abrasives,draft,LLC,05-3668408,633832829,US,GBP,Net 30,2-way,F,,quarrington.abrasives@quarringtonabr.com,EU-AP,3,2026-06-26,"PLT-08, PLT-09, PLT-07, PLT-11"
V-102461,Marchmont Springs LLC,Marchmont Springs,active,Corporation,34-8710957,855348085,US,USD,Net 15,3-way,No,,marchmont.springs@marchmontspr.com,MX-AP,2,,PLT-02 / PLT-04 / PLT-01 / PLT-09
V-102462,Jarrow Foundry Corp,,On Hold,Corporation,966594241,655796966,DE,MXN,NET30,2-way,,HUBZone,jarrow.foundry@jarrowfou.com,CA-AP,High,10/06/2028,PLT-03;PLT-11;PLT-05
V-102463,Alderman Valves Corp,,Inactive,Partnership,19-3272614,819918247,DE,EUR,Net 30,none,F,,alderman.valves@aldermanval.com,MX-AP,Low,2027-05-08,PLT-12
V-102464,Hollingworth Logistics Corp,Hollingworth Logistics,inactive,Non-Profit,77-9468920,955996912,CA,MXN,30 days,2 way,F,,ap@hollingworthlog.com; hollingworth.logistics@hollingworthlog.com,MX-AP,Tier 2,2027-11-03,PLT-01
V-102465,Lansdowne Castings S.A. de C.V.,,Active,Corporation,,905937337,United Kingdom,USD,Net 60,3-way,Y,SDVOSB,lansdowne.castings.lansdownecas.com,US-AP,3,,"PLT-06, PLT-05, PLT-08"
V-102466,Fairweather Springs PLC,,A,,02-8337263,329147715,US,EUR,Immediate,,False,,fairweather.springs@fairweatherspr.com,US-AP,Medium,2026-08-16,"PLT-01, PLT-06"
